regimen_id,source_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
7,7
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,7
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,7
29,1
29,7
30,1
31,7
32,1
32,7
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
44,7
45,1
46,1
47,1
47,7
48,1
48,7
49,1
50,1
51,1
52,1
52,7
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,7
64,1
65,7
66,1
66,7
67,7
68,1
68,7
69,1
70,1
71,1
71,7
72,1
73,1
74,7
75,1
75,7
76,7
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
93,7
94,1
95,1
96,1
97,1
98,1
99,7
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
125,7
126,7
127,7
128,7
129,7
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,7
140,7
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,7
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,7
188,1
189,7
190,1
190,7
191,7
192,7
193,7
194,1
195,1
196,7
197,1
197,7
198,7
199,7
200,7
201,7
202,1
203,1
204,1
205,7
206,1
207,1
207,7
208,1
208,7
209,7
210,1
211,1
212,1
212,7
213,1
214,1
214,7
215,1
216,1
217,1
218,1
219,1
220,1
221,7
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
232,7
233,1
234,1
235,7
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
252,7
253,1
254,7
255,1
256,1
257,1
257,7
258,1
259,1
260,1
261,7
262,7
263,7
264,7
265,7
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,7
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,7
301,1
301,7
302,1
303,1
304,1
305,1
306,1
307,7
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,7
317,1
318,1
319,7
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
331,7
332,1
333,1
334,1
335,1
336,1
337,1
338,1
338,7
339,1
340,1
341,1
341,7
342,1
342,7
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
365,7
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,7
379,1
380,1
381,1
382,1
383,1
384,1
384,7
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
395,7
396,1
397,1
398,1
399,1
399,7
400,1
401,1
402,1
403,1
403,7
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,7
466,1
467,7
468,1
469,7
470,7
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,7
479,1
480,1
481,1
482,7
483,1
484,1
485,1
486,1
487,1
487,7
488,1
489,1
489,7
490,7
491,1
492,1
493,7
494,7
495,1
495,7
496,7
497,7
498,7
499,7
500,7
501,1
502,7
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
511,7
512,1
513,1
514,7
515,1
515,7
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,7
524,1
525,1
526,1
527,1
528,1
528,7
529,1
530,7
531,1
532,1
533,7
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
543,7
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
